[font=DTX Determination Sans]|Basarimlar|Basarim Acildi|Su basarimlar elde edildi:|(SAYFA [CurrentPage]/[MaxPages])|[font=DTX Mars Needs Cunnilingus]([CompletedCount]/[MaxAchievements] TAMAMLANDI)
???|Bir sir gerekiyor
Bir dahaki sefere|ACT 1'i tamamla
Katil|Dustswap rotasini tamamla❓
Terminus|Papyrus'u erken oldur❓
Benim Hatam|Sebepsiz yere 13 dusmani bagisla
Herkese huzur|Sans Vs. Papyrus'ta esya kullanma ve ek ara sahneyi al
Demek SADECE bir oyunmus|Sans Vs. Papyrus'ta hasar alma
Hayat bir ruya olabilirdi|Yesil Degerli Tasi bul
Gelsinler bakalim!|Papyrus'la erken karsilas
Gecmisin yankilari|Papyrus'un onunde belirli bir esyayi kullan
Bir sey olmasini mi bekliyorsun?|Sans'in duygulariyla oyna
Buna "ragebait" deniyor|Zor kovalamacanin basinda herhangi bir esya kullan ve [italic]tamamla.[/italic]
Gormezden gelecegim|Sans Vs. Papyrus'ta kac
Merakli biri|Happstablook'u bulmak icin geri don
Her zaman daha delisi vardir|Tum ACT 1 basarimlarini al⭐
